Stars,Ratings,Prices,Brands,Capacity,Energy_stars,config
4.2,741,112990,SAMSUNG,633.0,3,Full-Sized Side-by-Side
4.2,2145,17690,WHIRLPOOL,207.0,3,Single Door
5.0,1,51990,SAMSUNG,396.0,3,Freezer-on-Top
4.2,689,15490,SAMSUNG,183.0,3,Freezer-on-Top
4.0,9,28090,GODREJ,244.0,2,Double Door
4.2,741,112990,SAMSUNG,633.0,3,Full-Sized Side-by-Side
4.0,1564,12890,GODREJ,180.0,2,Freezer-on-Top
4.0,1579,16990,WHIRLPOOL,192.0,5,Single Door
4.3,29,19590,SAMSUNG,223.0,3,Freezer-on-Top
4.1,1990,13990,WHIRLPOOL,184.0,3,Single Door
3.7,39,16690,VOLTAS BEKO,183.0,5,Freezer-on-Top
3.6,80,48840,VOLTAS BEKO,470.0,2,Double Door
3.7,54,22990,IFB,243.0,2,Double Door
4.1,415,24990,HAIER,237.0,3,Full-Sized Freezer-on-Bottom
4.2,52,19600,SAMSUNG,189.0,5,Freezer-on-Top
4.1,59,72490,HAIER,602.0,3,Side-by-Side
3.7,28,19990,MIDEA,233.0,3,Freezer-on-Top
4.1,15,61490,LG,506.0,1,Freezer-on-Top
3.6,29,28990,LG,272.0,2,Freezer-on-Top
4.1,59,54990,PANASONIC,357.0,2,Double Door
3.8,41,18490,GODREJ,234.0,3,Single Door
4.0,196,22190,HAIER,240.0,2,Full-Sized Freezer-on-Top
3.5,57,13490,HAIER,190.0,2,Single Door
3.3,49,21990,VOLTAS BEKO,228.0,2,Double Door
4.1,59,56090,PANASONIC,401.0,2,Double Door
4.0,108,31490,PANASONIC,309.0,3,Double Door
3.5,57,16490,HAIER,190.0,4,Single Door
4.1,3953,15990,HAIER,190.0,5,Freezer-on-Top
4.2,10,26950,SAMSUNG,236.0,2,Freezer-on-Top
3.2,11,69990,SAMSUNG,530.0,1,Freezer-on-Top
3.1,2,104990,SAMSUNG,653.0,3,Freezer-on-Top
3.2,6,55190,WHIRLPOOL,467.0,2,Double Door
5.0,1,16690,GODREJ,180.0,5,Single Door
3.5,30,34990,WESTERN,340.0,5,Freezer-on-Bottom
4.0,7,21990,SAMSUNG,215.0,5,Freezer-on-Top
3.7,54,22990,IFB,243.0,2,Double Door
3.9,2157,14090,GODREJ,183.0,3,Single Door
4.1,3953,17290,HAIER,190.0,5,Freezer-on-Top
3.5,30,34990,WESTERN,340.0,5,Freezer-on-Bottom
4.1,14,43990,HAIER,328.0,3,Compact Freezer-on-Top
3.8,26,13490,IFB,187.0,2,Single Door
4.2,52,19600,SAMSUNG,189.0,5,Freezer-on-Top
3.9,13,33990,HAIER,328.0,3,Standard double door
4.4,36,36500,WESTERN,453.0,5,Freezer-on-Bottom
4.2,176,23790,HAIER,237.0,2,Full-Sized Freezer-on-Bottom
3.7,26,56990,HAIER,445.0,2,Freezer-on-Bottom
4.0,9,28090,GODREJ,244.0,2,Double Door
3.9,721,26990,GODREJ,272.0,3,Double Door
4.1,432,14340,WHIRLPOOL,184.0,3,Single Door
4.2,153,15190,HAIER,185.0,2,Freezer-on-Top
3.6,34,32190,GODREJ,272.0,2,Double Door
3.9,772,17790,WHIRLPOOL,192.0,4,Single Door
5.0,2,11580,BPL,85.0,2,Freezer-on-Top
